CODIGO_TIENDA;NOMBRE_TIENDA;CLUSTER;CATEGORIA;TIENE_PERSONAL;LAT;LON
801;ECI PRECIADOS;Madrid;G;TRUE;4.041.768;-370.496
803;ECI SANCHINARRO;Madrid;G;TRUE;4.049.787;-366.112
805;ECI SERRANO PRINCESA;Madrid;M;TRUE;404.298;-371.549
806;ECI POZUELO;Madrid;G;TRUE;4.045.667;-374.818
832;ECI MADRID GOYA;Madrid;G;TRUE;4.042.459;-367.481
840;ECI BERCIAL;Madrid;M;TRUE;4.031.792;-371.531
845;ECI XANADU;Madrid;M;TRUE;402.729;-39.229
857;ECI VALLADOLID ZORRILLA;Madrid;G;TRUE;4.163.715;-473.955
869;ECI ALCALA DE HENARES;Madrid;G;TRUE;4.048.198;-336.354
1782;ECI CAMPO DE LAS NACIONES;Madrid;M;TRUE;4.045.609;-361.724
1933;ECI TALAVERA;Madrid;P;FALSE;399.622.253;-48.282.501
2020;ECI SALAMANCA;Madrid;M;TRUE;4.097.375;-565.734
2094;ECI SAN JOSÉ VALDERAS;Madrid;M;TRUE;403.659;-380.384
