codigo_tienda;nombre_tienda;categoria;tiene_personal;lat;lon;capacidad_total;capacidad_restante
801;ECI PRECIADOS;G;True;40,41768;-3,70496;1320;1320
803;ECI SANCHINARRO;G;True;40,49787;-3,66112;1370;1370
805;ECI SERRANO PRINCESA;M;True;40,4298;-3,71549;1133;1133
806;ECI POZUELO;G;True;40,45667;-3,74818;996;996
832;ECI MADRID GOYA;G;True;40,42459;-3,67481;1222;1222
840;ECI BERCIAL;M;True;40,31792;-3,71531;960;960
845;ECI XANADU;M;True;40,2729;-3,9229;704;704
857;ECI VALLADOLID ZORRILLA;G;True;41,63715;-4,73955;1150;1150
869;ECI ALCALA DE HENARES;G;True;40,48198;-3,36354;913;913
1782;ECI CAMPO DE LAS NACIONES;M;True;40,45609;-3,61724;923;923
1933;ECI TALAVERA;P;False;39,9622253;-4,8282501;600;600
2020;ECI SALAMANCA;M;True;40,97375;-5,65734;1313;1313
2094;ECI SAN JOSÉ VALDERAS;M;True;40,3659;-3,80384;1074;1074
