codigo_origen;codigo_destino;distancia_minutos
801;803;20
801;805;4
801;806;12
801;832;9
801;840;19
801;845;32
801;857;145
801;869;39
801;1782;20
801;1933;91
801;2020;152
801;2094;21
803;805;18
803;806;16
803;832;12
803;840;26
803;845;40
803;857;149
803;869;34
803;1782;11
803;1933;98
803;2020;156
803;2094;28
805;806;8
805;832;7
805;840;20
805;845;32
805;857;141
805;869;37
805;1782;18
805;1933;90
805;2020;148
805;2094;22
806;832;12
806;840;20
806;845;33
806;857;140
806;869;40
806;1782;18
806;1933;91
806;2020;147
806;2094;22
832;840;19
832;845;33
832;857;148
832;869;31
832;1782;12
832;1933;91
832;2020;155
832;2094;21
840;845;26
840;857;155
840;869;42
840;1782;25
840;1933;85
840;2020;162
840;2094;15
845;857;153
845;869;55
845;1782;36
845;1933;69
845;2020;160
845;2094;16
857;869;175
857;1782;153
857;1933;193
857;2020;83
857;2094;145
869;1782;25
869;1933;114
869;2020;180
869;2094;44
1782;1933;94
1782;2020;158
1782;2094;24
1933;2020;169
1933;2094;74
2020;2094;152
803;801;20
805;801;4
806;801;12
832;801;9
840;801;19
845;801;32
857;801;145
869;801;39
1782;801;20
1933;801;91
2020;801;152
2094;801;21
805;803;18
806;803;16
832;803;12
840;803;26
845;803;40
857;803;149
869;803;34
1782;803;11
1933;803;98
2020;803;156
2094;803;28
806;805;8
832;805;7
840;805;20
845;805;32
857;805;141
869;805;37
1782;805;18
1933;805;90
2020;805;148
2094;805;22
832;806;12
840;806;20
845;806;33
857;806;140
869;806;40
1782;806;18
1933;806;91
2020;806;147
2094;806;22
840;832;19
845;832;33
857;832;148
869;832;31
1782;832;12
1933;832;91
2020;832;155
2094;832;21
845;840;26
857;840;155
869;840;42
1782;840;25
1933;840;85
2020;840;162
2094;840;15
857;845;153
869;845;55
1782;845;36
1933;845;69
2020;845;160
2094;845;16
869;857;175
1782;857;153
1933;857;193
2020;857;83
2094;857;145
1782;869;25
1933;869;114
2020;869;180
2094;869;44
1933;1782;94
2020;1782;158
2094;1782;24
2020;1933;169
2094;1933;74
2094;2020;152
