pais;codigo_tienda;nombre_tienda;num_vendedor;talon;fecha_hora;fecha;hora;minuto;dia_semana;dia_semana_nombre;fin_de_semana;codigo_operacion;talon_original;tienda_orig;fecha_hora_orig;fecha_orig;hora_orig;minuto_orig;dia_semana_orig;dia_semana_orig_nombre;fin_de_semana_orig;codigo_operacion_orig;ean;venta_directa;devolucion;confirmacion;pedido;anulacion;importe
ES;801;ECI PRECIADOS;60445632;3328249;2026-05-18 18:03:00;2026-05-18;18;3;1;Lunes;NO;op000103328249202605181803;3328249;801;2026-05-18 18:03:00;2026-05-18;18;3;1;Lunes;NO;op000103328249202605181803;3253634498683;1;0;0;0;0;35.0
ES;801;ECI PRECIADOS;60445632;3328252;2026-05-18 18:20:00;2026-05-18;18;20;1;Lunes;NO;op000103328252202605181820;3328252;801;2026-05-18 18:20:00;2026-05-18;18;20;1;Lunes;NO;op000103328252202605181820;3253634634623;1;0;0;0;0;48.0
ES;801;ECI PRECIADOS;51772606;3328235;2026-05-18 15:13:00;2026-05-18;15;13;1;Lunes;NO;op000103328235202605181513;3328235;801;2026-05-18 15:13:00;2026-05-18;15;13;1;Lunes;NO;op000103328235202605181513;3253634634630;1;0;0;0;0;48.0
ES;801;ECI PRECIADOS;60445632;3328259;2026-05-18 19:05:00;2026-05-18;19;5;1;Lunes;NO;op000103328259202605181905;3328259;801;2026-05-18 19:05:00;2026-05-18;19;5;1;Lunes;NO;op000103328259202605181905;3253634680637;1;0;0;0;0;35.0
ES;801;ECI PRECIADOS;60445632;3328255;2026-05-18 18:39:00;2026-05-18;18;39;1;Lunes;NO;op000103328255202605181839;3328255;801;2026-05-18 18:39:00;2026-05-18;18;39;1;Lunes;NO;op000103328255202605181839;3253634680835;1;0;0;0;0;30.0
ES;801;ECI PRECIADOS;60445632;3328250;2026-05-18 18:07:00;2026-05-18;18;7;1;Lunes;NO;op000103328250202605181807;3328250;801;2026-05-18 18:07:00;2026-05-18;18;7;1;Lunes;NO;op000103328250202605181807;3253634681122;1;0;0;0;0;30.0
ES;801;ECI PRECIADOS;60445632;3328255;2026-05-18 18:39:00;2026-05-18;18;39;1;Lunes;NO;op000103328255202605181839;3328255;801;2026-05-18 18:39:00;2026-05-18;18;39;1;Lunes;NO;op000103328255202605181839;3253634688503;1;0;0;0;0;50.0
ES;801;ECI PRECIADOS;57571671;3253873;2026-05-18 21:39:00;2026-05-18;21;39;1;Lunes;NO;op000103253873202605182139;3253873;801;2026-05-18 21:39:00;2026-05-18;21;39;1;Lunes;NO;op000103253873202605182139;3253634688855;1;0;0;0;0;45.0
ES;801;ECI PRECIADOS;51174902;3490292;2026-05-18 20:19:00;2026-05-18;20;19;1;Lunes;NO;op000103490292202605182019;3490292;801;2026-05-18 20:19:00;2026-05-18;20;19;1;Lunes;NO;op000103490292202605182019;3253634692395;1;0;0;0;0;35.0
ES;801;ECI PRECIADOS;60445632;3328255;2026-05-18 18:39:00;2026-05-18;18;39;1;Lunes;NO;op000103328255202605181839;3328255;801;2026-05-18 18:39:00;2026-05-18;18;39;1;Lunes;NO;op000103328255202605181839;3253634692630;1;0;0;0;0;35.0
ES;801;ECI PRECIADOS;60445632;3501541;2026-05-18 11:22:00;2026-05-18;11;22;1;Lunes;NO;op000103501541202605181122;3327925;801;2026-05-13 11:22:00;2026-05-13;11;22;3;Miércoles;NO;op000103327925202605131122;3253634206417;0;-1;0;0;0;-30.0
ES;801;ECI PRECIADOS;60445632;3328230;2026-05-18 14:47:00;2026-05-18;14;47;1;Lunes;NO;op000103328230202605181447;3327673;801;2026-05-08 14:47:00;2026-05-08;14;47;5;Viernes;NO;op000103327673202605081447;3253634551616;0;-1;0;0;0;-40.0
ES;801;ECI PRECIADOS;75983858;3328240;2026-05-18 16:41:00;2026-05-18;16;41;1;Lunes;NO;op000103328240202605181641;4070070;803;2026-05-07 16:41:00;2026-05-07;16;41;4;Jueves;NO;op003704070070202605071641;3253634688428;0;-1;0;0;0;-66.5
ES;801;ECI PRECIADOS;60445632;3328230;2026-05-18 14:47:00;2026-05-18;14;47;1;Lunes;NO;op000103328230202605181447;3327673;801;2026-05-08 14:47:00;2026-05-08;14;47;5;Viernes;NO;op000103327673202605081447;3253634762609;0;-1;0;0;0;-30.0
ES;801;ECI PRECIADOS;61069100;3328224;;2026-05-18;;;;;NO;op00010332822420260518;3328224;801;;2026-05-18;;;;;NO;op00010332822420260518;3253634517988;0;-1;0;0;0;
ES;801;ECI PRECIADOS;61069100;3328224;;2026-05-18;;;;;NO;op00010332822420260518;3328224;801;;2026-05-18;;;;;NO;op00010332822420260518;3253634517995;1;0;0;0;0;
ES;832;ECI MADRID GOYA;83826487;811862;2026-05-18 14:14:00;2026-05-18;14;14;1;Lunes;NO;op000300811862202605181414;811862;832;2026-05-18 14:14:00;2026-05-18;14;14;1;Lunes;NO;op000300811862202605181414;3253634206417;1;0;0;0;0;30.0
ES;832;ECI MADRID GOYA;84423326;811886;2026-05-18 20:14:00;2026-05-18;20;14;1;Lunes;NO;op000300811886202605182014;811886;832;2026-05-18 20:14:00;2026-05-18;20;14;1;Lunes;NO;op000300811886202605182014;3253634634616;1;0;0;0;0;48.0
ES;832;ECI MADRID GOYA;83826487;811861;2026-05-18 13:53:00;2026-05-18;13;53;1;Lunes;NO;op000300811861202605181353;811861;832;2026-05-18 13:53:00;2026-05-18;13;53;1;Lunes;NO;op000300811861202605181353;3253634679921;1;0;0;0;0;30.0
ES;832;ECI MADRID GOYA;84423326;811868;2026-05-18 17:08:00;2026-05-18;17;8;1;Lunes;NO;op000300811868202605181708;811868;832;2026-05-18 17:08:00;2026-05-18;17;8;1;Lunes;NO;op000300811868202605181708;3253634688190;1;0;0;0;0;90.0
ES;832;ECI MADRID GOYA;84423326;811878;2026-05-18 19:16:00;2026-05-18;19;16;1;Lunes;NO;op000300811878202605181916;811878;832;2026-05-18 19:16:00;2026-05-18;19;16;1;Lunes;NO;op000300811878202605181916;3253634688770;1;0;0;0;0;90.0
ES;832;ECI MADRID GOYA;84423326;811867;2026-05-18 17:01:00;2026-05-18;17;1;1;Lunes;NO;op000300811867202605181701;811867;832;2026-05-18 17:01:00;2026-05-18;17;1;1;Lunes;NO;op000300811867202605181701;3253634691428;1;0;0;0;0;85.0
ES;832;ECI MADRID GOYA;83826487;811853;2026-05-18 11:08:00;2026-05-18;11;8;1;Lunes;NO;op000300811853202605181108;811853;832;2026-05-18 11:08:00;2026-05-18;11;8;1;Lunes;NO;op000300811853202605181108;3253634753317;1;0;0;0;0;40.0
