TEMPORADA;COLLECTION;FAMILIA;CODEPRODUIT;CODECOLORIS;NOMPRODUIT;LIBCOLORISMODIFIE;EAN;SEMANAS_IMPLANTACION;CANTIDAD_VENDIDA;SEMANAS_COBERTURA;CANTIDAD_DISPONIBLE_CENTROS;CANTIDAD_DISPONIBLE_ALMACENES
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418606;228;37;12;442;76
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418613;228;37;12;442;76
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418620;228;37;12;442;76
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418637;228;37;12;442;76
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418644;228;37;12;442;76
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418651;228;37;12;442;76
E26;ESSENTIELS;T-shirt;99948;201;241-DCOSMA;ECRU;3253634320984;98;35;11;362;229
E26;ESSENTIELS;T-shirt;99948;201;241-DCOSMA;ECRU;3253634320991;98;35;11;362;229
E26;ESSENTIELS;T-shirt;99948;201;241-DCOSMA;ECRU;3253634321004;98;35;11;362;229
E26;ESSENTIELS;T-shirt;99948;201;241-DCOSMA;ECRU;3253634321011;98;35;11;362;229
E26;ESSENTIELS;T-shirt;99948;201;241-DCOSMA;ECRU;3253634321028;98;35;11;362;229
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634446929;64;45;7;308;5
E26;ESSENTIELS;Pull;99287;201;242-MENTHE;ECRU;3253634285931;99;11;12;132;0
E26;ESSENTIELS;Pull;99287;201;242-MENTHE;ECRU;3253634285948;99;11;12;132;0
E26;ESSENTIELS;Pull;99287;201;242-MENTHE;ECRU;3253634285955;99;11;12;132;0
E26;ESSENTIELS;Pull;99287;201;242-MENTHE;ECRU;3253634285962;99;11;12;132;0
E26;ESSENTIELS;Pull;99287;201;242-MENTHE;ECRU;3253634285979;99;11;12;132;0
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253634422923;228;37;12;442;76
E26;ESSENTIELS;Pull;101270;1011;251-MTERI;IVOIRE/CERISE;3253634400662;66;18;12;224;0
E26;ESSENTIELS;Pull;101270;1011;251-MTERI;IVOIRE/CERISE;3253634400679;66;18;12;224;0
E26;ESSENTIELS;Pull;101270;1011;251-MTERI;IVOIRE/CERISE;3253634400686;66;18;12;224;0
E26;ESSENTIELS;Haut boutonné;98945;978;242-OLAFI;IVOIRE M;3253634498669;51;22;12;257;0
E26;ESSENTIELS;Haut boutonné;98945;978;242-OLAFI;IVOIRE M;3253634498676;51;22;12;257;0
E26;ESSENTIELS;Haut boutonné;98945;978;242-OLAFI;IVOIRE M;3253634498683;51;22;12;257;0
E26;ESSENTIELS;Haut boutonné;98945;978;242-OLAFI;IVOIRE M;3253634498690;51;22;12;257;0
E26;ESSENTIELS;Haut boutonné;98945;978;242-OLAFI;IVOIRE M;3253634498706;51;22;12;257;0
E26;ESSENTIELS;Haut boutonné;98945;978;242-OLAFI;IVOIRE M;3253634498713;51;22;12;257;0
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318790;105;51;7;328;0
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318813;105;51;7;328;0
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318820;105;51;7;328;0
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318837;105;51;7;328;0
E26;ESSENTIELS;T-shirt;101546;979;251-DIDOA;NOIR M;3253634452838;64;46;6;245;0
E26;ESSENTIELS;T-shirt;101546;979;251-DIDOA;NOIR M;3253634452845;64;46;6;245;0
E26;ESSENTIELS;T-shirt;101546;979;251-DIDOA;NOIR M;3253634452852;64;46;6;245;0
E26;ESSENTIELS;T-shirt;101546;979;251-DIDOA;NOIR M;3253634452869;64;46;6;245;0
E26;ESSENTIELS;Veste / blouson;102104;931;251-VPKY.F;OFF WHITE M;3253634458373;62;18;12;215;0
E26;ESSENTIELS;Veste / blouson;102104;931;251-VPKY.F;OFF WHITE M;3253634458380;62;18;12;215;0
E26;ESSENTIELS;Veste / blouson;102104;931;251-VPKY.F;OFF WHITE M;3253634458397;62;18;12;215;0
E26;ESSENTIELS;Veste / blouson;102104;931;251-VPKY.F;OFF WHITE M;3253634458403;62;18;12;215;0
E26;ESSENTIELS;Veste / blouson;102104;931;251-VPKY.F;OFF WHITE M;3253634458410;62;18;12;215;0
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;3253634318806;105;51;7;328;0
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422114;64;45;7;308;5
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422121;64;45;7;308;5
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422138;64;45;7;308;5
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422145;64;45;7;308;5
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;3253634422152;64;45;7;308;5
E26;ESSENTIELS;T-shirt;1103028;978;251-DSARAH;IVOIRE M;3253634517964;55;38;10;346;107
E26;ESSENTIELS;T-shirt;1103028;978;251-DSARAH;IVOIRE M;3253634517971;55;38;10;346;107
E26;ESSENTIELS;T-shirt;1103028;978;251-DSARAH;IVOIRE M;3253634517988;55;38;10;346;107
E26;ESSENTIELS;T-shirt;1103028;978;251-DSARAH;IVOIRE M;3253634517995;55;38;10;346;107
E26;ESSENTIELS;T-shirt;1103028;978;251-DSARAH;IVOIRE M;3253634518008;55;38;10;346;107
E26;ESSENTIELS;Pull;101270;1011;251-MTERI;IVOIRE/CERISE;3253634400693;66;18;12;224;0
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551593;58;35;11;360;81
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551609;58;35;11;360;81
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551616;58;35;11;360;81
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551623;58;35;11;360;81
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551630;58;35;11;360;81
E26;ESSENTIELS;T-shirt;101546;979;251-DIDOA;NOIR M;3253634452876;64;46;6;245;0
E26;ESSENTIELS;Pull;99287;201;242-MENTHE;ECRU;3253634525204;99;11;12;132;0
E26;MODE;T-shirt;1104426;931;261-DARIS;OFF WHITE M;3253634608969;19;19;5;101;0
E26;MODE;T-shirt;1104426;931;261-DARIS;OFF WHITE M;3253634608976;19;19;5;101;0
E26;MODE;T-shirt;1104426;931;261-DARIS;OFF WHITE M;3253634608983;19;19;5;101;0
E26;MODE;T-shirt;1104426;931;261-DARIS;OFF WHITE M;3253634608990;19;19;5;101;0
E26;MODE;T-shirt;1104426;931;261-DARIS;OFF WHITE M;3253634609003;19;19;5;101;0
E26;MODE;T-shirt;1104424;931;261-DIMOI;OFF WHITE M;3253634609010;26;18;6;115;0
E26;MODE;T-shirt;1104424;931;261-DIMOI;OFF WHITE M;3253634609027;26;18;6;115;0
E26;MODE;T-shirt;1104424;931;261-DIMOI;OFF WHITE M;3253634609034;26;18;6;115;0
E26;MODE;T-shirt;1104424;931;261-DIMOI;OFF WHITE M;3253634609058;26;18;6;115;0
E26;ESSENTIELS;Veste / blouson;102104;931;251-VPKY.F;OFF WHITE M;3253634458427;62;18;12;215;0
E26;ESSENTIELS;Robe/ combinaison;1103015;987;251-RJOLIE;MARINE M;3253634517148;11;17;11;184;0
E26;ESSENTIELS;Robe/ combinaison;1103015;987;251-RJOLIE;MARINE M;3253634517155;11;17;11;184;0
E26;ESSENTIELS;Robe/ combinaison;1103015;987;251-RJOLIE;MARINE M;3253634517162;11;17;11;184;0
E26;ESSENTIELS;Robe/ combinaison;1103015;987;251-RJOLIE;MARINE M;3253634517179;11;17;11;184;0
E26;ESSENTIELS;Robe/ combinaison;1103015;987;251-RJOLIE;MARINE M;3253634517186;11;17;11;184;0
E26;MODE;T-shirt;1104423;931;261-DBEAU;OFF WHITE M;3253634606552;19;16;8;127;3
E26;MODE;T-shirt;1104423;931;261-DBEAU;OFF WHITE M;3253634606569;19;16;8;127;3
E26;MODE;T-shirt;1104423;931;261-DBEAU;OFF WHITE M;3253634606576;19;16;8;127;3
E26;MODE;T-shirt;1104423;931;261-DBEAU;OFF WHITE M;3253634606590;19;16;8;127;3
E26;MODE;T-shirt;1104429;931;261-DLOLI;OFF WHITE M;3253634606958;23;13;7;87;0
E26;MODE;T-shirt;1104429;931;261-DLOLI;OFF WHITE M;3253634606965;23;13;7;87;0
