TEMPORADA;COLLECTION;FAMILIA;CODEPRODUIT;CODECOLORIS;NOMPRODUIT;LIBCOLORISMODIFIE;SEMANAS_IMPLANTACION;CANTIDAD_VENDIDA;SEMANAS_COBERTURA;CANTIDAD_DISPONIBLE_CENTROS;CANTIDAD_DISPONIBLE_ALMACENES
E26;ESSENTIELS;Robe/ combinaison;1105811;929;261-RODIOL;NOIR/IVOIRE;9;109;3;241;0
E26;ESSENTIELS;T-shirt;1106742;928;261-DIYUKI;IVOIRE/NOIR;7;79;4;195;223
E26;ESSENTIELS;Robe/ combinaison;1105821;1213;261-RDOLSOU;PRAIRIE M;10;75;4;278;116
E26;ESSENTIELS;Robe/ combinaison;1106919;987;261-ROCHI;MARINE M;3;72;3;186;37
E26;ESSENTIELS;T-shirt;1106837;926;261-DCAROLE;MARINE/OFF WHITE;3;71;4;213;16
E26;MODE;Robe / Tricot;1102606;1105;252-RMARMAI;HAVANE M;48;65;2;145;0
E26;ESSENTIELS;T-shirt;1105679;1204;261-DSAMIR;MYRTILLE M;12;59;6;304;93
E26;ESSENTIELS;T-shirt;1102626;987;252-DAROD;MARINE M;9;58;6;317;74
E26;ESSENTIELS;T-shirt;1105679;1213;261-DSAMIR;PRAIRIE M;12;57;7;336;286
E26;MODE;T-shirt;1104787;931;261-DAHLIA;OFF WHITE M;16;56;4;211;0
E26;MODE;Robe/ combinaison;1105804;979;261-RELOW;NOIR M;8;53;3;167;0
E26;MODE;T-shirt;1105677;926;261-DNAVY;MARINE/OFF WHITE;9;53;5;274;0
E26;ESSENTIELS;T-shirt;1105832;1023;261-DANIELA;MAGMA M;9;52;7;282;241
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;5;52;6;264;0
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;9;50;2;100;0
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;9;50;4;199;0
E26;MODE;Robe / Tricot;1105731;401;261-RMILAN;DORE;9;50;4;178;0
E26;ESSENTIELS;T-shirt;99913;900;241-DEUX;MULTICO;106;49;6;281;0
E26;ESSENTIELS;T-shirt;1102191;931;251-DELLA;OFF WHITE M;57;49;8;362;37
E26;ESSENTIELS;T-shirt;101546;978;251-DIDOA;IVOIRE M;65;48;6;262;12
E26;MODE;T-shirt;1105835;931;261-DYLAN;OFF WHITE M;9;48;6;228;213
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;9;47;8;338;161
E26;MODE;Robe/ combinaison;1105805;900;261-RSOAN;MULTICO;10;45;5;192;0
E26;ESSENTIELS;T-shirt;1103484;987;251-DROSSO;MARINE M;17;45;5;218;9
E26;ESSENTIELS;Robe/ combinaison;1105818;931;261-RBELLE;OFF WHITE M;12;44;9;367;39
E26;ESSENTIELS;T-shirt;101546;979;251-DIDOA;NOIR M;65;44;5;204;0
E26;ESSENTIELS;T-shirt;1106006;987;252-DIDOU;MARINE M;8;44;7;208;50
E26;ESSENTIELS;T-shirt;1106745;931;261-DIDOU1;OFF WHITE M;5;44;4;174;0
E26;MODE;Robe/ combinaison;1105812;1200;261-PIBO.F;NAVAL ACADEMY;7;43;6;235;12
E26;ESSENTIELS;Robe/ combinaison;1102139;1200;251-RISSAL;NAVAL ACADEMY;10;41;10;391;38
E26;MODE;Robe / Tricot;1104872;1191;261-RMARIUS;BUTTER M;6;41;5;187;0
E26;ESSENTIELS;T-shirt;1103028;978;251-DSARAH;IVOIRE M;56;41;8;314;37
E26;MODE;T-shirt;1106515;900;261-DJARDI;MULTICO;12;41;10;387;128
E26;MODE;Robe/ combinaison;1105798;900;261-RELIF.F;MULTICO;11;40;11;402;235
E26;ESSENTIELS;T-shirt;1106920;931;261-DOMIO;OFF WHITE M;7;40;8;246;209
E26;ESSENTIELS;Robe/ combinaison;1102139;1161;251-RISSAL;TEABERRY;7;39;7;258;8
E26;ESSENTIELS;T-shirt;101546;1145;251-DIDOA;CAPERS;14;39;6;241;0
E26;MODE;Robe/ combinaison;1107233;1159;261-RSAMYA;WHITE SMOKE;5;38;10;324;270
E26;ESSENTIELS;T-shirt;93923;1199;231-DATE;SWEET DREAMS;10;38;7;252;21
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;59;38;10;339;0
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;229;37;11;403;34
E26;ESSENTIELS;Robe/ combinaison;99078;1023;241-ROSLI;MAGMA M;9;37;12;419;208
E26;ESSENTIELS;T-shirt;1105842;1200;261-DAMA;NAVAL ACADEMY;13;37;10;315;200
E26;ESSENTIELS;T-shirt;1107038;900;261-DESLE;MULTICO;5;37;7;167;124
E26;ESSENTIELS;T-shirt;1107215;987;261-DHIVAL;MARINE M;9;37;7;236;87
E26;MODE;Haut boutonné;1105802;979;261-OPA;NOIR M;8;36;7;214;0
E26;ESSENTIELS;T-shirt;1102198;931;251-DALBA;OFF WHITE M;10;35;8;256;0
