CODEMAGASIN;NOMPRODUIT;CODEINTERNEARTICLE;CODEPRODUIT;LIBCOLORISMODIFIE;CODECOLORISSEL;TAILLE;CODEBARRES;DISPONIBLE;TRANSITO;PREPARACION;TOTAL
801;211-PROSY.F;493644;85001;IVOIRE;100;T34;3253633418606;2;0;0;2
801;211-PROSY.F;493645;85001;IVOIRE;100;T36;3253633418613;0;1;0;1
801;211-PROSY.F;493646;85001;IVOIRE;100;T38;3253633418620;1;0;0;1
801;211-PROSY.F;493647;85001;IVOIRE;100;T40;3253633418637;0;0;0;0
801;231-DATE;632870;93923;SWEET DREAMS;201;TXS;3253634679938;1;0;0;1
801;231-DATE;632871;93923;SWEET DREAMS;201;TS;3253634679945;2;0;0;2
801;231-DATE;632865;93923;SWEET DREAMS;201;TM;3253634679891;2;0;0;2
801;231-DATE;632872;93923;SWEET DREAMS;201;TL;3253634679952;2;0;0;2
801;241-ROSVAL;628166;97093;BLUE DEPTHS;979;T34;3253634634470;0;1;0;1
801;241-ROSVAL;628167;97093;BLUE DEPTHS;979;T36;3253634634487;1;0;0;1
801;241-ROSVAL;628168;97093;BLUE DEPTHS;979;T38;3253634634494;0;0;0;0
801;241-ROSVAL;628169;97093;BLUE DEPTHS;979;T40;3253634634500;2;0;0;2
801;241-ROSVAL;628170;97093;BLUE DEPTHS;979;T42;3253634634517;2;0;0;2
801;241-DAGA;632868;98032;PALE BANANA;508;TM;3253634679921;2;0;0;2
801;241-DAGA;632876;98032;PALE BANANA;508;TL;3253634679990;2;0;0;2
801;241-MELAN;633078;98061;MYRTILLE M;1204;TXS;3253634681962;2;0;0;2
801;241-MELAN;633079;98061;MYRTILLE M;1204;TS;3253634681979;2;0;0;2
801;241-MELAN;633076;98061;MYRTILLE M;1204;TM;3253634681955;2;0;0;2
801;241-MELAN;633080;98061;MYRTILLE M;1204;TL;3253634681986;1;0;0;1
801;241-OROOVE;633780;98443;NAVAL ACADEMY;1288;T34;3253634688848;1;0;0;1
801;241-OROOVE;633781;98443;NAVAL ACADEMY;1288;T36;3253634688855;1;0;0;1
801;241-OROOVE;633746;98443;NAVAL ACADEMY;1288;T38;3253634688510;1;0;1;2
801;241-OROOVE;633782;98443;NAVAL ACADEMY;1288;T40;3253634688862;2;0;0;2
801;241-OROOVE;633783;98443;NAVAL ACADEMY;1288;T42;3253634688879;2;0;0;2
801;242-OLAFI;613910;98945;IVOIRE M;1293;T36;3253634498676;1;0;0;1
801;242-OLAFI;613911;98945;IVOIRE M;1293;T38;3253634498683;1;0;0;1
801;241-ROSLI;633800;99078;MAGMA M;314;T34;3253634689043;0;1;0;0
801;241-ROSLI;633801;99078;MAGMA M;314;T36;3253634689050;0;2;0;2
801;241-ROSLI;633737;99078;MAGMA M;314;T38;3253634688428;2;2;0;4
801;241-ROSLI;633802;99078;MAGMA M;314;T40;3253634689067;3;0;0;3
801;241-ROSLI;633808;99078;PALE BANANA;314;T42;3253634689128;1;0;0;1
801;241-ROSLI;633803;99078;MAGMA M;314;T42;3253634689074;1;0;0;1
801;242-MUSHU;592454;99513;ECRU;201;TXS;3253634297200;2;0;0;2
801;242-MUSHU;592455;99513;ECRU;201;TS;3253634297217;4;0;0;4
801;242-MUSHU;592456;99513;ECRU;201;TM;3253634297224;4;0;0;4
801;242-MUSHU;592457;99513;ECRU;201;TL;3253634297231;2;0;0;2
801;241-DEUX;594613;99913;MULTICO;900;TXS;3253634318790;2;0;0;2
801;241-DEUX;594614;99913;MULTICO;900;TS;3253634318806;4;0;0;4
801;241-DEUX;594615;99913;MULTICO;900;TM;3253634318813;1;0;0;1
