CODEMAGASIN;categoria;NOMPRODUIT;LIBCOLORISMODIFIE;stock_disponible;stock_transito;stock_preparacion;stock_total;venta_4semanas;velocidad_semanal_real;velocidad_operativa;semanas_rotacion;tiene_reposicion;perfil
1782;M;211-PROSY.F;IVOIRE;6;0;0;6;0;0.0;0;999;False;EMISOR
1782;M;231-DATE;SWEET DREAMS;2;0;0;2;3;0.75;1;2;False;RECEPTOR
1782;M;241-DAGA;PALE BANANA;0;0;0;0;4;1.0;1;0;False;RECEPTOR
1782;M;241-DEUX;MULTICO;3;0;0;3;2;0.5;1;3;False;RECEPTOR
1782;M;241-MELAN;MYRTILLE M;3;0;1;4;1;0.25;1;4;True;RECEPTOR
1782;M;241-OROOVE;NAVAL ACADEMY;3;1;0;4;3;0.75;1;4;True;RECEPTOR
1782;M;241-ROSLI;MAGMA M;4;0;0;4;2;0.5;1;4;False;RECEPTOR
1782;M;241-ROSLI;PALE BANANA;1;0;0;1;3;0.75;1;1;False;RECEPTOR
1782;M;241-ROSVAL;BLUE DEPTHS;8;0;0;8;2;0.5;1;8;False;RECEPTOR
1782;M;242-MUSHU;ECRU;3;0;0;3;2;0.5;1;3;False;RECEPTOR
1782;M;242-OLAFI;IVOIRE M;1;0;0;1;2;0.5;1;1;False;RECEPTOR
1782;M;251-DALBA;BUBBLE M;1;0;0;1;1;0.25;1;1;False;RECEPTOR
1782;M;251-DALBA;OFF WHITE M;3;0;0;3;1;0.25;1;3;False;RECEPTOR
1782;M;251-DALIKA;OFF WHITE M;0;1;0;1;4;1.0;1;1;True;RECEPTOR
1782;M;251-DELLA;NOIR M;3;0;0;3;0;0.0;0;999;False;EMISOR
1782;M;251-DELLA;OFF WHITE M;3;0;0;3;3;0.75;1;3;False;RECEPTOR
1782;M;251-DIDOA;CAPERS;1;0;0;1;1;0.25;1;1;False;RECEPTOR
1782;M;251-DIDOA;IVOIRE M;3;0;0;3;0;0.0;0;999;False;EMISOR
1782;M;251-DIDOA;NOIR M;1;0;0;1;2;0.5;1;1;False;RECEPTOR
1782;M;251-DROSSO;MARINE M;2;0;0;2;3;0.75;1;2;False;RECEPTOR
1782;M;251-DSARAH;IVOIRE M;1;0;0;1;2;0.5;1;1;False;RECEPTOR
1782;M;251-REINE1;MYRTILLE M;2;0;0;2;3;0.75;1;2;False;RECEPTOR
1782;M;251-RIA;NOIR M;4;0;1;5;1;0.25;1;5;True;RECEPTOR
1782;M;251-RISSAL;NAVAL ACADEMY;3;0;0;3;2;0.5;1;3;False;RECEPTOR
1782;M;251-RISSAL;TEABERRY;2;0;0;2;3;0.75;1;2;False;RECEPTOR
1782;M;251-RJOLIE;MARINE M;0;0;0;0;1;0.25;1;0;False;RECEPTOR
1782;M;252-DAROD;MARINE M;3;0;0;3;2;0.5;1;3;False;RECEPTOR
1782;M;252-DFLOWER;NAVAL ACADEMY;4;0;0;4;2;0.5;1;4;False;RECEPTOR
1782;M;252-DFLOWER;NOIR M;5;0;0;5;0;0.0;0;999;False;EMISOR
1782;M;252-DIDOU;MARINE M;4;0;0;4;0;0.0;0;999;False;EMISOR
1782;M;252-RMARMAI;HAVANE M;2;0;0;2;3;0.75;1;2;False;RECEPTOR
1782;M;261-3FLEUR;DORE;3;0;0;3;0;0.0;0;999;False;EMISOR
1782;M;261-CUBA.F;MULTICO;4;0;0;4;1;0.25;1;4;False;RECEPTOR
1782;M;261-DAHLIA;OFF WHITE M;1;0;0;1;3;0.75;1;1;False;RECEPTOR
1782;M;261-DAMA;MAGMA M;5;0;0;5;0;0.0;0;999;False;EMISOR
1782;M;261-DAMA;NAVAL ACADEMY;4;0;0;4;0;0.0;0;999;False;EMISOR
1782;M;261-DANANA;PALE BANANA;3;0;0;3;1;0.25;1;3;False;RECEPTOR
1782;M;261-DANIELA;MAGMA M;3;0;1;4;3;0.75;1;4;True;RECEPTOR
1782;M;261-DARIA;NOIR M;2;0;0;2;3;0.75;1;2;False;RECEPTOR
1782;M;261-DBABY;NOIR M;3;0;0;3;1;0.25;1;3;False;RECEPTOR
1782;M;261-DCAROLE;MARINE/OFF WHITE;4;0;0;4;1;0.25;1;4;False;RECEPTOR
1782;M;261-DCIAO;MYRTILLE M;1;0;0;1;0;0.0;0;999;False;EMISOR
1782;M;261-DEFI;BUTTER M;2;0;0;2;2;0.5;1;2;False;RECEPTOR
1782;M;261-DFESTON;SWEET DREAMS;1;0;0;1;1;0.25;1;1;False;RECEPTOR
1782;M;261-DGUAPA;OFF WHITE M;2;0;0;2;2;0.5;1;2;False;RECEPTOR
1782;M;261-DHIVAL;MARINE M;3;1;0;4;1;0.25;1;4;True;RECEPTOR
1782;M;261-DIANA;BUTTER M;1;0;0;1;1;0.25;1;1;False;RECEPTOR
1782;M;261-DIDOU1;OFF WHITE M;3;0;0;3;1;0.25;1;3;False;RECEPTOR
1782;M;261-DIVALI;MYRTILLE M;4;0;0;4;1;0.25;1;4;False;RECEPTOR
1782;M;261-DIYUKI;IVOIRE/NOIR;3;0;0;3;1;0.25;1;3;False;RECEPTOR
1782;M;261-DJARDI;MULTICO;0;0;0;0;7;1.75;2;0;False;RECEPTOR
