pais;codigo_tienda;nombre_tienda;num_vendedor;talon;fecha_hora;fecha;hora;minuto;dia_semana;dia_semana_nombre;fin_de_semana;codigo_operacion;talon_original;tienda_orig;fecha_hora_orig;fecha_orig;hora_orig;minuto_orig;dia_semana_orig;dia_semana_orig_nombre;fin_de_semana_orig;codigo_operacion_orig;ean;venta_directa;devolucion;confirmacion;pedido;anulacion;importe
ES;801;ECI PRECIADOS;60445632;3327440;2026-05-04 18:33:00;2026-05-04;18;33;1;Lunes;NO;op000103327440202605041833;3327440;801;2026-05-04 18:33:00;2026-05-04 00:00:00;18;33;1;Lunes;NO;op000103327440202605041833;3253634318806;1;0;0;0;0;35.0
ES;801;ECI PRECIADOS;51312668;3381718;2026-05-04 13:20:00;2026-05-04;13;20;1;Lunes;NO;op000103381718202605041320;3381718;801;2026-05-04 13:20:00;2026-05-04 00:00:00;13;20;1;Lunes;NO;op000103381718202605041320;3253634625843;1;0;0;0;0;25.0
ES;801;ECI PRECIADOS;60445632;3327454;2026-05-04 21:05:00;2026-05-04;21;5;1;Lunes;NO;op000103327454202605042105;3327454;801;2026-05-04 21:05:00;2026-05-04 00:00:00;21;5;1;Lunes;NO;op000103327454202605042105;3253634693217;1;0;0;0;0;30.0
ES;801;ECI PRECIADOS;83739961;3327428;2026-05-04 13:39:00;2026-05-04;13;39;1;Lunes;NO;op000103327428202605041339;3327428;801;2026-05-04 13:39:00;2026-05-04 00:00:00;13;39;1;Lunes;NO;op000103327428202605041339;3253634733128;1;0;0;0;0;35.0
ES;801;ECI PRECIADOS;60445632;3327441;2026-05-04 18:33:00;2026-05-04;18;33;1;Lunes;NO;op000103327441202605041833;3327441;801;2026-05-04 18:33:00;2026-05-04 00:00:00;18;33;1;Lunes;NO;op000103327441202605041833;3253634748269;1;0;0;0;0;25.0
ES;801;ECI PRECIADOS;60445632;3327435;2026-05-04 18:23:00;2026-05-04;18;23;1;Lunes;NO;op000103327435202605041823;3327435;801;2026-05-04 18:23:00;2026-05-04 00:00:00;18;23;1;Lunes;NO;op000103327435202605041823;3253634753171;1;0;0;0;0;40.0
ES;832;ECI MADRID GOYA;84423326;811214;2026-05-04 17:15:00;2026-05-04;17;15;1;Lunes;NO;op000300811214202605041715;811214;832;2026-05-04 17:15:00;2026-05-04 00:00:00;17;15;1;Lunes;NO;op000300811214202605041715;3253634490199;1;0;0;0;0;85.0
ES;832;ECI MADRID GOYA;67204610;811209;2026-05-04 15:08:00;2026-05-04;15;8;1;Lunes;NO;op000300811209202605041508;811209;832;2026-05-04 15:08:00;2026-05-04 00:00:00;15;8;1;Lunes;NO;op000300811209202605041508;3253634498706;1;0;0;0;0;35.0
ES;832;ECI MADRID GOYA;83285635;811207;2026-05-04 13:39:00;2026-05-04;13;39;1;Lunes;NO;op000300811207202605041339;811207;832;2026-05-04 13:39:00;2026-05-04 00:00:00;13;39;1;Lunes;NO;op000300811207202605041339;3253634517148;1;0;0;0;0;80.0
ES;832;ECI MADRID GOYA;84423326;811212;2026-05-04 17:06:00;2026-05-04;17;6;1;Lunes;NO;op000300811212202605041706;811212;832;2026-05-04 17:06:00;2026-05-04 00:00:00;17;6;1;Lunes;NO;op000300811212202605041706;3253634637433;1;0;0;0;0;85.0
ES;832;ECI MADRID GOYA;84423326;811220;2026-05-04 19:27:00;2026-05-04;19;27;1;Lunes;NO;op000300811220202605041927;811220;832;2026-05-04 19:27:00;2026-05-04 00:00:00;19;27;1;Lunes;NO;op000300811220202605041927;3253634680934;1;0;0;0;0;30.0
ES;832;ECI MADRID GOYA;84423326;811210;2026-05-04 15:38:00;2026-05-04;15;38;1;Lunes;NO;op000300811210202605041538;811210;832;2026-05-04 15:38:00;2026-05-04 00:00:00;15;38;1;Lunes;NO;op000300811210202605041538;3253634681139;1;0;0;0;0;30.0
ES;832;ECI MADRID GOYA;83285635;811203;2026-05-04 13:23:00;2026-05-04;13;23;1;Lunes;NO;op000300811203202605041323;811203;832;2026-05-04 13:23:00;2026-05-04 00:00:00;13;23;1;Lunes;NO;op000300811203202605041323;3253634683294;1;0;0;0;0;29.0
ES;832;ECI MADRID GOYA;84423326;811219;2026-05-04 19:25:00;2026-05-04;19;25;1;Lunes;NO;op000300811219202605041925;811219;832;2026-05-04 19:25:00;2026-05-04 00:00:00;19;25;1;Lunes;NO;op000300811219202605041925;3253634688428;1;0;0;0;0;95.0
ES;832;ECI MADRID GOYA;67204610;811208;2026-05-04 15:01:00;2026-05-04;15;1;1;Lunes;NO;op000300811208202605041501;811208;832;2026-05-04 15:01:00;2026-05-04 00:00:00;15;1;1;Lunes;NO;op000300811208202605041501;3253634689067;1;0;0;0;0;95.0
ES;832;ECI MADRID GOYA;84423326;811213;2026-05-04 17:08:00;2026-05-04;17;8;1;Lunes;NO;op000300811213202605041708;811213;832;2026-05-04 17:08:00;2026-05-04 00:00:00;17;8;1;Lunes;NO;op000300811213202605041708;3253634689104;1;0;0;0;0;95.0
ES;832;ECI MADRID GOYA;84423326;811211;2026-05-04 16:01:00;2026-05-04;16;1;1;Lunes;NO;op000300811211202605041601;811211;832;2026-05-04 16:01:00;2026-05-04 00:00:00;16;1;1;Lunes;NO;op000300811211202605041601;3253634690254;1;0;0;0;0;95.0
ES;832;ECI MADRID GOYA;83285635;811198;2026-05-04 11:43:00;2026-05-04;11;43;1;Lunes;NO;op000300811198202605041143;811198;832;2026-05-04 11:43:00;2026-05-04 00:00:00;11;43;1;Lunes;NO;op000300811198202605041143;3253634691404;1;0;0;0;0;85.0
ES;832;ECI MADRID GOYA;83285635;811203;2026-05-04 13:23:00;2026-05-04;13;23;1;Lunes;NO;op000300811203202605041323;811203;832;2026-05-04 13:23:00;2026-05-04 00:00:00;13;23;1;Lunes;NO;op000300811203202605041323;3253634692586;1;0;0;0;0;35.0
ES;832;ECI MADRID GOYA;61282356;884885;2026-05-04 14:00:00;2026-05-04;14;0;1;Lunes;NO;op000300884885202605041400;884885;832;2026-05-04 14:00:00;2026-05-04 00:00:00;14;0;1;Lunes;NO;op000300884885202605041400;3253634761244;1;0;0;0;0;35.0
ES;832;ECI MADRID GOYA;83285635;811201;2026-05-04 13:18:00;2026-05-04;13;18;1;Lunes;NO;op000300811201202605041318;811201;832;2026-05-04 13:18:00;2026-05-04 00:00:00;13;18;1;Lunes;NO;op000300811201202605041318;3253634781204;1;0;0;0;0;35.0
