emisor;nombre_emisor;receptor;nombre_receptor;producto;color;tallas;codigo_producto;codigo_color;stock_inicial_receptor;stock_antes;aporte;stock_despues;cobertura_antes;cobertura_despues;url_foto
840;ECI BERCIAL;832;ECI MADRID GOYA;261-DIDONA;OFF WHITE M;TL, TM, TS, TXS;1105680;931;8;8.0;8.0;16.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1105680-931-F.jpg
2020;ECI SALAMANCA;869;ECI ALCALA DE HENARES;261-DIDONA;OFF WHITE M;TL, TM, TS, TXS;1105680;931;5;5.0;4.0;9.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1105680-931-F.jpg
840;ECI BERCIAL;801;ECI PRECIADOS;261-DAVINA;OFF WHITE/MARINE;TL, TM, TS, TXL, TXS;1106827;925;6;6.0;5.0;11.0;3;6;#
1782;ECI CAMPO DE LAS NACIONES;801;ECI PRECIADOS;251-MOLOVIC;IVOIRE M;TL, TM, TS, TXS;1102111;978;6;6.0;4.0;10.0;3;5;#
2020;ECI SALAMANCA;801;ECI PRECIADOS;251-MOLOVIC;IVOIRE M;TL, TM, TS, TXS;1102111;978;6;10.0;4.0;14.0;5;7;#
801;ECI PRECIADOS;803;ECI SANCHINARRO;261-DIYUKI;IVOIRE/NOIR;TL, TM, TS, TXS;1106742;928;1;1.0;7.0;8.0;0;3;https://content.morgandetoi.fr/el-corte-ingles/1106742-928-F.jpg
840;ECI BERCIAL;803;ECI SANCHINARRO;261-DIYUKI;IVOIRE/NOIR;TL, TM, TS, TXS;1106742;928;1;8.0;6.0;14.0;3;5;https://content.morgandetoi.fr/el-corte-ingles/1106742-928-F.jpg
845;ECI XANADU;2094;ECI SAN JOSÉ VALDERAS;261-DIYUKI;IVOIRE/NOIR;TL, TM, TS, TXS;1106742;928;0;0.0;4.0;4.0;0;4;https://content.morgandetoi.fr/el-corte-ingles/1106742-928-F.jpg
1782;ECI CAMPO DE LAS NACIONES;857;ECI VALLADOLID ZORRILLA;251-DSARAH;IVOIRE M;TS;1103028;978;2;2.0;1.0;3.0;2;3;#
840;ECI BERCIAL;803;ECI SANCHINARRO;261-MPIKA;ROSEE M;TL, TM, TS, TXS;1105694;1219;10;10.0;6.0;16.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1105694-1219-F.jpg
2020;ECI SALAMANCA;801;ECI PRECIADOS;261-MPIKA;ROSEE M;TL, TM, TS, TXS;1105694;1219;3;3.0;4.0;7.0;3;7;https://content.morgandetoi.fr/el-corte-ingles/1105694-1219-F.jpg
1782;ECI CAMPO DE LAS NACIONES;832;ECI MADRID GOYA;261-MPIKA;ROSEE M;TL, TXS;1105694;1219;4;4.0;3.0;7.0;4;7;https://content.morgandetoi.fr/el-corte-ingles/1105694-1219-F.jpg
2020;ECI SALAMANCA;801;ECI PRECIADOS;261-DSAMIR;MYRTILLE M;TL, TM, TXS;1105679;1204;3;3.0;3.0;6.0;2;3;https://content.morgandetoi.fr/el-corte-ingles/1105679-1204-F.jpg
869;ECI ALCALA DE HENARES;801;ECI PRECIADOS;242-BINGO;ECRU;TL, TM, TS, TXS;99187;201;6;6.0;5.0;11.0;3;6;#
2094;ECI SAN JOSÉ VALDERAS;801;ECI PRECIADOS;242-BINGO;ECRU;TXS;99187;201;6;11.0;1.0;12.0;6;6;#
2020;ECI SALAMANCA;801;ECI PRECIADOS;252-DFLOWER;NOIR M;TL, TM, TS, TXS;1102614;979;3;3.0;4.0;7.0;2;4;#
832;ECI MADRID GOYA;803;ECI SANCHINARRO;242-MUSHU;ECRU;TL, TM, TS, TXS;99513;201;4;4.0;6.0;10.0;2;5;#
805;ECI SERRANO PRINCESA;803;ECI SANCHINARRO;242-MUSHU;ECRU;TL, TM, TS, TXS;99513;201;4;10.0;5.0;15.0;5;8;#
857;ECI VALLADOLID ZORRILLA;1782;ECI CAMPO DE LAS NACIONES;242-MUSHU;ECRU;TL, TM, TXS;99513;201;1;1.0;4.0;5.0;1;5;#
2020;ECI SALAMANCA;803;ECI SANCHINARRO;241-MELAN;MYRTILLE M;TL, TM, TS, TXS;98061;1204;7;7.0;4.0;11.0;4;6;#
845;ECI XANADU;803;ECI SANCHINARRO;241-MELAN;MYRTILLE M;TL, TXS;98061;1204;7;11.0;2.0;13.0;6;6;#
2020;ECI SALAMANCA;832;ECI MADRID GOYA;251-DELLA;OFF WHITE M;TL, TM, TS, TXS;1102191;931;1;1.0;4.0;5.0;1;2;#
2020;ECI SALAMANCA;806;ECI POZUELO;261-DTAL;BUBBLE M;TL, TM, TS, TXS;1105672;1166;2;2.0;6.0;8.0;2;8;https://content.morgandetoi.fr/el-corte-ingles/1105672-1166-F.jpg
803;ECI SANCHINARRO;857;ECI VALLADOLID ZORRILLA;261-DECLIC;OFF WHITE M;TL, TM, TS, TXS;1107271;931;0;0.0;7.0;7.0;0;4;#
840;ECI BERCIAL;857;ECI VALLADOLID ZORRILLA;261-DECLIC;OFF WHITE M;TL, TM, TS, TXS;1107271;931;0;7.0;4.0;11.0;4;6;#
2020;ECI SALAMANCA;803;ECI SANCHINARRO;261-RELIF.F;MULTICO;T34, T38, T40, T42;1105798;900;5;5.0;5.0;10.0;2;3;https://content.morgandetoi.fr/el-corte-ingles/1105798-900-F.jpg
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;261-RELIF.F;MULTICO;T36, T38, T40, T42;1105798;900;5;10.0;4.0;14.0;3;5;https://content.morgandetoi.fr/el-corte-ingles/1105798-900-F.jpg
805;ECI SERRANO PRINCESA;803;ECI SANCHINARRO;242-DAYA;ECRU;TL, TM, TS, TXS;98717;201;4;4.0;5.0;9.0;2;4;#
857;ECI VALLADOLID ZORRILLA;832;ECI MADRID GOYA;261-DOUCE;OFF WHITE M;TL, TM, TS;1105675;931;3;3.0;5.0;8.0;3;8;https://content.morgandetoi.fr/el-corte-ingles/1105675-931-F.jpg
2020;ECI SALAMANCA;840;ECI BERCIAL;261-DOUCE;OFF WHITE M;TL, TM, TS, TXS;1105675;931;3;3.0;4.0;7.0;3;7;https://content.morgandetoi.fr/el-corte-ingles/1105675-931-F.jpg
2094;ECI SAN JOSÉ VALDERAS;840;ECI BERCIAL;261-DOUCE;OFF WHITE M;TM;1105675;931;3;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1105675-931-F.jpg
2094;ECI SAN JOSÉ VALDERAS;803;ECI SANCHINARRO;251-RCOCO.F;MAGMA M;T34, T36, T38, T40, T42;1103895;1023;7;7.0;5.0;12.0;4;6;#
869;ECI ALCALA DE HENARES;803;ECI SANCHINARRO;241-DAGA;BEIGE;TL, TM, TS, TXS;98032;202;5;5.0;8.0;13.0;1;3;#
2020;ECI SALAMANCA;803;ECI SANCHINARRO;241-DAGA;BEIGE;TL, TM, TS, TXL, TXS;98032;202;5;13.0;4.0;17.0;3;4;#
2020;ECI SALAMANCA;803;ECI SANCHINARRO;261-DJARDI;MULTICO;TL, TM, TS, TXL, TXS;1106515;900;9;9.0;6.0;15.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1106515-900-F.jpg
845;ECI XANADU;832;ECI MADRID GOYA;261-DOMIO;OFF WHITE M;TM;1106920;931;6;6.0;1.0;7.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1106920-931-F.jpg
805;ECI SERRANO PRINCESA;801;ECI PRECIADOS;251-RDOLS;MULTICO;T34, T36, T38, T40, T42;1102144;900;4;4.0;6.0;10.0;1;3;#
2020;ECI SALAMANCA;801;ECI PRECIADOS;251-RDOLS;MULTICO;T34, T36, T38, T40, T42;1102144;900;4;10.0;6.0;16.0;3;5;#
2094;ECI SAN JOSÉ VALDERAS;801;ECI PRECIADOS;251-RDOLS;MULTICO;T40;1102144;900;4;16.0;1.0;17.0;5;6;#
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;252-DFLOWER;NAVAL ACADEMY;TL, TM, TS, TXS;1102614;1200;2;2.0;4.0;6.0;1;3;#
805;ECI SERRANO PRINCESA;803;ECI SANCHINARRO;252-DFLOWER;NAVAL ACADEMY;TL, TM, TS;1102614;1200;2;6.0;3.0;9.0;3;4;#
2020;ECI SALAMANCA;803;ECI SANCHINARRO;252-DFLOWER;NAVAL ACADEMY;TM, TS, TXS;1102614;1200;2;9.0;3.0;12.0;4;6;#
805;ECI SERRANO PRINCESA;2094;ECI SAN JOSÉ VALDERAS;261-BOUNTY;PRAIRIE M;TL, TM, TS, TXS;1105836;1213;1;1.0;4.0;5.0;1;5;https://content.morgandetoi.fr/el-corte-ingles/1105836-1213-F.jpg
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;261-DANANA;PALE BANANA;TL, TS, TXS;1105837;1144;1;1.0;3.0;4.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1105837-1144-F.jpg
845;ECI XANADU;805;ECI SERRANO PRINCESA;261-PTROPIC;NOIR M;T34, T36, T38, T40, T42;1107237;979;0;0.0;5.0;5.0;0;5;https://content.morgandetoi.fr/el-corte-ingles/1107237-979-F.jpg
2020;ECI SALAMANCA;832;ECI MADRID GOYA;251-DIDOA;ARGAN OIL;TM;101546;1168;5;5.0;1.0;6.0;5;6;#
806;ECI POZUELO;1782;ECI CAMPO DE LAS NACIONES;251-DIDOA;ARGAN OIL;TL, TM, TS, TXS;101546;1168;3;3.0;4.0;7.0;3;7;#
845;ECI XANADU;857;ECI VALLADOLID ZORRILLA;251-DIDOA;ARGAN OIL;TL, TM, TS, TXS;101546;1168;3;3.0;4.0;7.0;3;7;#
840;ECI BERCIAL;2094;ECI SAN JOSÉ VALDERAS;251-DIDOA;ARGAN OIL;TL, TM, TS, TXS;101546;1168;3;3.0;4.0;7.0;3;7;#
857;ECI VALLADOLID ZORRILLA;806;ECI POZUELO;261-RSAMYA;NOIR;T36, T38;1107233;100;2;2.0;3.0;5.0;1;2;https://content.morgandetoi.fr/el-corte-ingles/1107233-100-F.jpg
805;ECI SERRANO PRINCESA;845;ECI XANADU;261-DPALM;OFF WHITE M;TL, TM, TS;1105840;931;0;0.0;3.0;3.0;0;3;https://content.morgandetoi.fr/el-corte-ingles/1105840-931-F.jpg
803;ECI SANCHINARRO;801;ECI PRECIADOS;261-BRUNI;MULTICO;TL, TM, TS, TXS;1106743;900;7;7.0;7.0;14.0;4;7;https://content.morgandetoi.fr/el-corte-ingles/1106743-900-F.jpg
840;ECI BERCIAL;845;ECI XANADU;261-DGRAOU;OFF WHITE M;TL, TM, TS, TXS;1107039;931;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1107039-931-F.jpg
840;ECI BERCIAL;806;ECI POZUELO;251-RDOLSI;MULTICO;T34, T36, T38, T40, T42;1102739;900;3;3.0;6.0;9.0;2;4;#
2020;ECI SALAMANCA;801;ECI PRECIADOS;261-DROSE;OFF WHITE M;TL, TM, TS, TXS;1105681;931;5;5.0;4.0;9.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1105681-931-F.jpg
805;ECI SERRANO PRINCESA;801;ECI PRECIADOS;261-DRED;MAGMA M;TL, TS;1105682;1023;3;3.0;2.0;5.0;2;2;https://content.morgandetoi.fr/el-corte-ingles/1105682-1023-F.jpg
2094;ECI SAN JOSÉ VALDERAS;801;ECI PRECIADOS;261-DRED;MAGMA M;TL, TXS;1105682;1023;3;5.0;2.0;7.0;2;4;https://content.morgandetoi.fr/el-corte-ingles/1105682-1023-F.jpg
845;ECI XANADU;869;ECI ALCALA DE HENARES;261-DEFI;BUTTER M;TM, TS, TXS;1105706;1191;1;1.0;3.0;4.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1105706-1191-F.jpg
845;ECI XANADU;803;ECI SANCHINARRO;251-RCOCO.F;PRAIRIE M;T34, T36, T38, T40, T42;1103895;1213;4;4.0;6.0;10.0;1;3;#
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;251-RCOCO.F;PRAIRIE M;T34, T36, T38, T40, T42;1103895;1213;4;10.0;5.0;15.0;3;5;#
801;ECI PRECIADOS;806;ECI POZUELO;261-ROCHI;MARINE M;T34, T36, T38, T40, T42;1106919;987;2;2.0;5.0;7.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1106919-987-F.jpg
2020;ECI SALAMANCA;857;ECI VALLADOLID ZORRILLA;251-DALIKA;OFF WHITE M;TL, TM, TS, TXS;1103498;931;2;2.0;5.0;7.0;1;4;#
840;ECI BERCIAL;857;ECI VALLADOLID ZORRILLA;251-DALIKA;OFF WHITE M;TL, TM, TS;1103498;931;2;7.0;5.0;12.0;4;6;#
805;ECI SERRANO PRINCESA;857;ECI VALLADOLID ZORRILLA;251-DALIKA;OFF WHITE M;TL, TM, TXS;1103498;931;2;12.0;3.0;15.0;6;8;#
2020;ECI SALAMANCA;832;ECI MADRID GOYA;261-RODIOL;NOIR/IVOIRE;T36, T40;1105811;929;1;1.0;2.0;3.0;0;1;https://content.morgandetoi.fr/el-corte-ingles/1105811-929-F.jpg
2094;ECI SAN JOSÉ VALDERAS;805;ECI SERRANO PRINCESA;261-CALCI.F;OXYGENE M;T34, T36, T38, T40, T42;1104832;992;2;2.0;6.0;8.0;2;8;https://content.morgandetoi.fr/el-corte-ingles/1104832-992-F.jpg
